approx_playtime,song_id,artist,song_name
"2021-11-25 03:12","song-188564","Andrew Ripp","Rejoice"
"2021-11-25 03:17","song-186888","Chris August","Starry Night"
"2021-11-25 03:21","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-25 03:24","song-184531","Sanctus Real","Confidence"
"2021-11-25 03:28","song-188505","Tasha Layton","Look What You've Done"
"2021-11-25 03:31","song-188475","Evan Craft","Be Alright (Feat. Danny Gokey & Redimi2)"
"2021-11-25 03:34","song-185591","NEEDTOBREATHE","Testify"
"2021-11-25 03:37","song-188561","Jordan St. Cyr","Weary Traveler"
"2021-11-25 03:41","song-187643","Cory Asbury","The Father's House"
"2021-11-25 03:45","song-188530","Jeremy Camp","When You Speak"
"2021-11-25 03:48","song-185406","Casting Crowns","Only Jesus"
"2021-11-25 03:52","song-188522","Matthew West","What If"
"2021-11-25 03:56","song-188568","Brandon Lake","Too Good To Not Believe (feat. Jenn Johnson)"
"2021-11-25 04:01","song-188010","CAIN","Rise Up (Lazarus)"
"2021-11-25 04:04","song-186602","Matt Maher","Because He Lives (Amen)"
"2021-11-25 04:07","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-25 04:10","song-187036","7eventh Time Down","God Is On The Move"
"2021-11-25 04:14","song-188569","Riley Clemmons","For The Good"
"2021-11-25 04:18","song-188539","Crowder","In The house"
"2021-11-25 04:21","song-186929","Ryan Stevenson","Eye Of The Storm (feat. GabeReal)"
"2021-11-25 04:24","song-188495","Phil Wickham","House Of The Lord"
"2021-11-25 04:29","song-188560","Danny Gokey","Stand In Faith"
"2021-11-25 04:32","song-188511","CeCe Winans","Believe For It"
"2021-11-25 04:35","song-188555","for KING & COUNTRY","Relate"
"2021-11-25 04:41","song-184182","MercyMe","Best News Ever"
"2021-11-25 04:43","song-183859","Lincoln Brewster","Everlasting God"
"2021-11-25 04:48","song-188559","TobyMac","Promised Land"
"2021-11-25 04:51","song-187788","Elevation Worship","RATTLE!"
"2021-11-25 04:55","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-25 04:59","song-187442","I AM THEY","Scars"
"2021-11-25 05:03","song-186582","Francesca Battistelli","Holy Spirit"
"2021-11-25 05:07","song-188557","We Are Messengers","Come What May"
"2021-11-25 05:11","song-187573","Micah Tyler","Amen"
"2021-11-25 05:14","song-188580","Zach Williams","Heaven Help Me"
"2021-11-25 05:19","song-185198","Matthew West","You Are Everything"
"2021-11-25 05:22","song-188563","Sanctus Real","My God Is Still The Same"
"2021-11-25 05:26","song-184941","Matt Redman","10,000 Reasons"
"2021-11-25 05:30","song-188514","Blanca","Even At My Worst"
"2021-11-25 05:34","song-187973","Chris Tomlin","Who You Are To Me [feat. Lady A]"
"2021-11-25 05:37","song-185479","The Afters","Every Good Thing"
"2021-11-25 05:41","song-188570","Jon Reddick","God, Turn It Around (feat. Matt Maher)"
"2021-11-25 05:46","song-188579","Jordan Feliz","Jesus Is Coming Back (feat. Mandisa & Jonathan Traylor)"
"2021-11-25 05:49","song-188505","Tasha Layton","Look What You've Done"
"2021-11-25 05:53","song-186152","Passion","Glorious Day"
"2021-11-25 05:57","song-188507","Anne Wilson","My Jesus"
"2021-11-25 06:01","song-187563","Zach Williams","There Was Jesus"
"2021-11-25 06:04","song-187308","Lauren Daigle","First"
"2021-11-25 06:08","song-188530","Jeremy Camp","When You Speak"
"2021-11-25 06:11","song-183627","TobyMac","Feel It (feat. Mr. TalkBox)"
"2021-11-25 06:15","song-188562","Mac Powell","River of Life"
"2021-11-25 06:18","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-25 06:20","song-185623","Phil Wickham","Safe"
"2021-11-25 06:24","song-188492","CAIN","Yes He Can"
"2021-11-25 06:28","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-25 06:32","song-188474","Rhett Walker","Gospel Song"
"2021-11-25 06:35","song-188539","Crowder","In The house"
"2021-11-25 06:40","song-187636","Riley Clemmons","Fighting For Me"
"2021-11-25 06:44","song-184523","Sanctus Real","Lead Me"
"2021-11-25 06:47","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-25 06:52","song-188130","Jeremy Camp","Out of My Hands"
"2021-11-25 06:56","song-188522","Matthew West","What If"
"2021-11-25 06:59","song-185488","The Afters","I Will Fear No More"
"2021-11-25 07:03","song-187202","Hillsong United","So Will I (100 Billion X)"
"2021-11-25 07:08","song-188555","for KING & COUNTRY","Relate"
"2021-11-25 07:11","song-188003","Josh Baldwin","Evidence"
"2021-11-25 07:14","song-188564","Andrew Ripp","Rejoice"
"2021-11-25 07:21","song-184498","Plumb","God Help Me"
"2021-11-25 07:24","song-188561","Jordan St. Cyr","Weary Traveler"
"2021-11-25 07:28","song-183315","Chris Tomlin","I Will Follow"
